time[s],v[m/s],w[rad/s],wp_x,wp_y,theta_wp[rad]
23.80,2.00,0.89,-41.82,25.00,0.07
23.90,2.00,1.00,-42.05,24.00,0.13
24.00,2.00,0.41,-42.25,24.00,0.04
24.10,2.00,1.00,-42.45,24.00,-0.01
24.20,2.00,-1.57,-42.65,24.00,-0.11
24.30,2.00,1.00,-42.85,24.00,0.04
24.40,2.00,1.00,-43.05,23.95,0.15
24.50,2.00,1.00,-43.23,23.77,0.07
24.60,2.00,0.26,-43.41,23.59,-0.01
24.70,2.00,1.00,-43.58,23.42,-0.02
24.80,2.00,-1.48,-43.75,23.25,-0.10
24.90,2.00,1.00,-43.92,23.08,0.06
25.00,2.00,-1.57,-44.11,23.00,-0.23
25.10,2.00,1.00,-44.31,23.00,-0.09
25.20,2.00,-1.57,-44.51,23.00,-0.19
25.30,2.00,1.00,-44.71,23.00,-0.05
25.40,2.00,-1.57,-44.91,23.00,-0.15
25.50,2.00,1.00,-45.12,23.00,-0.00
25.60,2.00,-1.57,-45.32,23.00,-0.11
25.70,2.00,1.00,-45.52,23.00,0.04
25.80,2.00,-1.57,-45.72,23.00,-0.06
25.90,2.00,1.00,-45.92,23.00,0.09
26.00,2.00,1.00,-46.11,22.89,0.21
26.10,2.00,1.00,-46.28,22.72,0.13
26.20,2.00,0.80,-46.45,22.55,0.05
26.30,2.00,0.53,-46.62,22.38,-0.01
26.40,2.00,0.43,-46.78,22.22,-0.05
26.50,2.00,0.02,-46.94,22.06,-0.08
26.60,2.00,-1.57,-47.13,22.00,-0.29
26.70,2.00,1.00,-47.33,22.00,-0.14
26.80,2.00,-1.57,-47.54,22.00,-0.25
26.90,2.00,1.00,-47.74,22.00,-0.11
27.00,2.00,-1.57,-47.94,22.00,-0.22
27.10,2.00,1.00,-48.00,21.42,0.41
27.20,2.00,1.00,-48.00,20.86,0.40
27.30,2.00,1.00,-48.00,20.41,0.36
27.40,2.00,1.00,-48.00,20.02,0.32
27.50,2.00,1.00,-48.00,19.66,0.26
27.60,2.00,1.00,-48.00,19.34,0.20
27.70,2.00,1.00,-48.00,19.03,0.14
27.80,2.00,1.00,-48.00,18.74,0.07
27.90,2.00,0.31,-48.00,18.46,-0.01
28.00,2.00,1.00,-48.00,18.19,-0.02
28.10,2.00,-1.35,-48.00,17.93,-0.10
28.20,2.00,1.00,-48.00,17.68,0.06
28.30,2.00,-1.57,-48.00,17.43,-0.02
28.40,2.00,1.00,-48.00,17.18,0.15
28.50,2.00,1.00,-47.80,16.80,0.30
28.60,2.00,1.00,-47.32,16.32,0.30
28.70,2.00,-0.43,-47.00,15.97,0.07
28.80,2.00,1.00,-47.00,15.76,0.13
28.90,2.00,-0.78,-47.00,15.55,0.04
29.00,2.00,1.00,-47.00,15.34,0.12
29.10,2.00,-1.15,-47.00,15.13,0.03
29.20,2.00,1.00,-46.90,14.90,0.37
29.30,2.00,1.00,-46.64,14.64,0.32
29.40,2.00,1.00,-46.40,14.40,0.26
29.50,2.00,1.00,-46.18,14.18,0.20
29.60,2.00,-1.57,-46.00,13.96,-0.07
29.70,2.00,1.00,-46.00,13.77,0.09
29.80,2.00,-1.57,-46.00,13.57,-0.01
29.90,2.00,1.00,-46.00,13.37,0.15
30.00,2.00,-1.57,-46.00,13.17,0.06
30.10,0.00,1.00,-45.30,13.00,0.71
30.20,0.00,1.00,-45.30,13.00,0.61
30.30,0.00,1.00,-45.30,13.00,0.51
30.40,1.00,1.00,-45.30,13.00,0.41
30.50,2.00,-1.57,-45.00,12.94,-0.04
30.60,2.00,1.00,-45.00,12.74,0.12
30.70,2.00,-1.57,-45.00,12.54,0.02
30.80,2.00,1.00,-45.00,12.34,0.17
30.90,2.00,-1.29,-45.00,12.14,0.07
31.00,2.00,1.00,-45.00,11.94,0.20
31.10,2.00,-0.67,-45.00,11.74,0.10
31.20,2.00,1.00,-45.00,11.54,0.17
31.30,2.00,-0.37,-45.00,11.34,0.07
31.40,2.00,1.00,-45.00,11.14,0.10
31.50,2.00,-0.73,-45.00,10.94,0.00
31.60,2.00,1.00,-45.00,10.74,0.07
31.70,2.00,-1.43,-45.00,10.54,-0.03
31.80,2.00,1.00,-45.00,10.33,0.11
31.90,2.00,-1.57,-45.00,10.13,0.01
32.00,2.00,1.00,-45.00,9.93,0.16
32.10,2.00,-1.25,-45.00,9.73,0.06
32.20,2.00,1.00,-45.00,9.53,0.19
32.30,2.00,-0.63,-45.00,9.34,0.09
32.40,2.00,1.00,-45.00,9.13,0.15
32.50,2.00,-1.57,-45.08,8.92,-0.15
32.60,2.00,1.00,-45.30,8.70,-0.03
32.70,2.00,-1.57,-45.51,8.49,-0.16
32.80,2.00,1.00,-45.72,8.28,-0.04
32.90,2.00,-1.57,-45.92,8.08,-0.16
33.00,2.00,-1.05,-46.88,8.00,-0.34
33.10,2.00,-1.57,-47.59,8.00,-0.34
33.20,2.00,0.40,-48.09,8.00,-0.26
33.30,2.00,-1.57,-48.52,8.00,-0.35
33.40,2.00,1.00,-48.89,8.00,-0.25
33.50,2.00,-1.57,-49.10,7.90,-0.17
33.60,2.00,1.00,-49.24,7.76,-0.02
33.70,2.00,-1.57,-49.38,7.62,-0.13
33.80,2.00,1.00,-49.53,7.47,0.02
33.90,2.00,-1.57,-49.67,7.33,-0.08
34.00,2.00,1.00,-49.81,7.19,0.07
34.10,2.00,-1.57,-49.95,7.05,-0.03
34.20,2.00,1.00,-50.21,7.00,-0.09
34.30,2.00,-1.57,-50.52,7.00,-0.22
34.40,2.00,1.00,-50.81,7.00,-0.10
34.50,2.00,1.00,-51.00,6.91,0.19
34.60,2.00,1.00,-51.00,6.63,0.11
34.70,2.00,1.00,-51.00,6.36,0.04
34.80,2.00,0.33,-51.00,6.10,-0.04
34.90,2.00,-1.57,-51.08,5.92,-0.27
35.00,2.00,1.00,-51.22,5.78,-0.12
35.10,2.00,-1.57,-51.36,5.64,-0.22
35.20,2.00,1.00,-51.50,5.50,-0.08
35.30,2.00,-1.57,-51.64,5.36,-0.18
35.40,2.00,1.00,-51.78,5.22,-0.03
35.50,2.00,-1.57,-51.92,5.08,-0.13
35.60,2.00,1.00,-52.00,4.88,0.23
35.70,2.00,-0.27,-52.00,4.62,0.16
35.80,2.00,1.00,-52.00,4.36,0.21
35.90,2.00,0.77,-52.00,4.11,0.13
36.00,2.00,1.00,-52.00,3.87,0.07
36.10,2.00,0.36,-52.00,3.63,-0.01
36.20,2.00,1.00,-52.00,3.40,-0.03
36.30,2.00,-1.22,-52.00,3.17,-0.12
36.40,2.00,1.00,-52.00,2.94,0.02
36.50,2.00,-1.57,-52.00,2.71,-0.07
36.60,2.00,1.00,-52.00,2.49,0.10
36.70,2.00,-1.57,-52.00,2.26,0.01
36.80,2.00,1.00,-52.00,2.04,0.18
36.90,2.00,-0.93,-52.00,1.82,0.10
37.00,2.00,1.00,-52.00,1.60,0.20
37.10,2.00,-0.04,-52.00,1.39,0.12
37.20,2.00,1.00,-52.00,1.17,0.14
37.30,2.00,0.13,-52.00,0.96,0.05
37.40,2.00,1.00,-52.00,0.74,0.05
37.50,2.00,-0.68,-52.00,0.53,-0.04
37.60,2.00,1.00,-52.00,0.32,0.03
37.70,2.00,-1.57,-52.00,0.11,-0.06
37.80,2.00,1.00,-52.00,-0.10,0.10
37.90,2.00,-1.57,-52.00,-0.31,0.01
38.00,2.00,1.00,-52.00,-0.51,0.18
38.10,2.00,-1.00,-52.00,-0.72,0.09
